구,행정동,거래건수,단지수,법정동수
구로구,구로1동,1202,17,1
구로구,구로2동,865,55,1
구로구,구로3동,1412,34,2
구로구,구로4동,1328,53,3
구로구,구로5동,2663,238,2
구로구,수궁동,483,27,2
구로구,신도림동,2408,20,2
구로구,오류1동,945,21,2
구로구,오류2동,1204,35,3
구로구,항동,468,12,1
금천구,가산동,759,20,1
금천구,독산1동,2280,31,1
금천구,독산2동,31,5,2
금천구,독산3동,314,31,1
금천구,독산4동,114,17,1
금천구,시흥1동,1278,23,1
금천구,시흥2동,1544,6,1
금천구,시흥3동,82,17,1
금천구,시흥4동,311,11,1
금천구,시흥5동,131,11,1
노원구,공릉1동,1861,61,2
노원구,공릉2동,2763,30,1
노원구,상계10동,1817,13,1
노원구,상계1동,1862,32,2
노원구,상계2동,782,15,1
노원구,상계3·4동,1132,14,1
노원구,상계5동,948,7,1
노원구,상계6·7동,3141,13,1
노원구,상계8동,1483,4,1
노원구,상계9동,1998,6,2
노원구,월계1동,981,18,1
노원구,월계2동,1673,15,1
노원구,월계3동,2559,12,2
노원구,중계1동,2266,15,2
노원구,중계2·3동,2339,6,2
노원구,중계4동,1335,15,1
노원구,중계본동,1586,21,1
노원구,하계1동,1394,10,1
노원구,하계2동,2027,10,2
도봉구,도봉1동,768,8,1
도봉구,도봉2동,1277,12,1
도봉구,방학1동,913,20,1
도봉구,방학2동,73,6,1
도봉구,방학3동,2370,22,1
도봉구,쌍문1동,407,15,1
도봉구,쌍문2동,772,20,1
도봉구,쌍문3동,578,23,1
도봉구,쌍문4동,1263,14,1
도봉구,창1동,1515,13,1
도봉구,창2동,855,20,2
도봉구,창3동,121,7,1
도봉구,창4동,2200,14,1
도봉구,창5동,1272,16,1
동대문구,답십리1동,2500,23,1
동대문구,답십리2동,1840,13,1
동대문구,용신동,1469,27,2
동대문구,이문1동,478,11,1
동대문구,이문2동,1152,9,1
동대문구,장안1동,1781,92,1
동대문구,장안2동,1775,69,2
동대문구,전농1동,1005,11,1
동대문구,전농2동,1125,5,1
동대문구,제기동,709,16,1
동대문구,청량리동,570,8,1
동대문구,회기동,431,10,2
동대문구,휘경1동,617,13,1
동대문구,휘경2동,1031,11,2
동작구,노량진1동,1796,17,3
동작구,노량진2동,266,4,1
동작구,대방동,1364,31,1
동작구,사당1동,116,6,1
동작구,사당2동,1814,18,2
동작구,사당3동,1242,15,1
동작구,사당4동,210,7,1
동작구,사당5동,941,20,1
동작구,상도1동,1734,36,2
동작구,상도2동,1818,16,2
동작구,상도3동,330,16,1
동작구,상도4동,379,16,2
동작구,신대방1동,1147,12,1
동작구,신대방2동,656,19,2
동작구,흑석동,1745,17,1
마포구,공덕동,1957,27,4
마포구,대흥동,670,11,3
