구,법정동,아파트명,행정동,구_spatial,행정동_spatial,adm_nm
서대문구,남가좌동,DMC파크뷰자이1단지,남가좌1동,서대문구,남가좌1동,서울특별시 서대문구 남가좌1동
서대문구,남가좌동,DMC파크뷰자이2단지,남가좌1동,서대문구,남가좌1동,서울특별시 서대문구 남가좌1동
서대문구,남가좌동,DMC파크뷰자이3단지,남가좌1동,서대문구,남가좌2동,서울특별시 서대문구 남가좌2동
서대문구,남가좌동,DMC파크뷰자이4단지,남가좌1동,서대문구,남가좌1동,서울특별시 서대문구 남가좌1동
서대문구,남가좌동,DMC파크뷰자이5단지,남가좌1동,서대문구,남가좌1동,서울특별시 서대문구 남가좌1동
서대문구,남가좌동,남가좌동현대,남가좌1동,서대문구,남가좌2동,서울특별시 서대문구 남가좌2동
서대문구,남가좌동,디엠씨엘가,남가좌1동,서대문구,남가좌1동,서울특별시 서대문구 남가좌1동
서대문구,남가좌동,래미안남가좌2차,남가좌1동,서대문구,남가좌1동,서울특별시 서대문구 남가좌1동
서대문구,남가좌동,래미안루센티아,남가좌1동,서대문구,남가좌2동,서울특별시 서대문구 남가좌2동
서대문구,남가좌동,백련미라보,남가좌1동,서대문구,남가좌2동,서울특별시 서대문구 남가좌2동
서대문구,남가좌동,쌍용스윗닷홈,남가좌1동,서대문구,남가좌2동,서울특별시 서대문구 남가좌2동
서대문구,남가좌동,엠화일비동,남가좌1동,서대문구,남가좌2동,서울특별시 서대문구 남가좌2동
서대문구,남가좌동,엠화일에이동,남가좌1동,서대문구,남가좌2동,서울특별시 서대문구 남가좌2동
서대문구,남가좌동,창덕에버빌,남가좌1동,서대문구,남가좌1동,서울특별시 서대문구 남가좌1동
서대문구,냉천동,돈의문센트레빌,천연동,서대문구,천연동,서울특별시 서대문구 천연동
서대문구,냉천동,동부센트레빌,천연동,서대문구,천연동,서울특별시 서대문구 천연동
서대문구,대현동,무궁화,신촌동,서대문구,신촌동,서울특별시 서대문구 신촌동
서대문구,대현동,신촌럭키,신촌동,서대문구,신촌동,서울특별시 서대문구 신촌동
서대문구,대현동,신촌자이엘라,신촌동,서대문구,신촌동,서울특별시 서대문구 신촌동
서대문구,대현동,예스에이피엠,신촌동,서대문구,신촌동,서울특별시 서대문구 신촌동
서대문구,대현동,이대경우타운,신촌동,서대문구,신촌동,서울특별시 서대문구 신촌동
서대문구,대현동,파라타워,신촌동,서대문구,신촌동,서울특별시 서대문구 신촌동
서대문구,대현동,혜우,신촌동,서대문구,신촌동,서울특별시 서대문구 신촌동
서대문구,북가좌동,DMC두산위브,북가좌1동,서대문구,북가좌2동,서울특별시 서대문구 북가좌2동
서대문구,북가좌동,DMC래미안e편한세상,북가좌1동,서대문구,북가좌1동,서울특별시 서대문구 북가좌1동
서대문구,북가좌동,DMC서부인터빌,북가좌1동,서대문구,북가좌2동,서울특별시 서대문구 북가좌2동
서대문구,북가좌동,DMC아이파크,북가좌1동,서대문구,북가좌2동,서울특별시 서대문구 북가좌2동
서대문구,북가좌동,DMC이랜드해가든,북가좌1동,서대문구,북가좌1동,서울특별시 서대문구 북가좌1동
서대문구,북가좌동,DMC한양,북가좌1동,서대문구,북가좌1동,서울특별시 서대문구 북가좌1동
서대문구,북가좌동,DMC현대아파트,북가좌1동,서대문구,북가좌1동,서울특별시 서대문구 북가좌1동
서대문구,북가좌동,DMC휴먼빌아파트,북가좌1동,서대문구,북가좌2동,서울특별시 서대문구 북가좌2동
서대문구,북가좌동,대경아르체,북가좌1동,서대문구,북가좌2동,서울특별시 서대문구 북가좌2동
서대문구,북가좌동,대성,북가좌1동,서대문구,북가좌2동,서울특별시 서대문구 북가좌2동
서대문구,북가좌동,동도하이츠비동,북가좌1동,서대문구,북가좌2동,서울특별시 서대문구 북가좌2동
서대문구,북가좌동,동도하이츠에이동,북가좌1동,서대문구,북가좌2동,서울특별시 서대문구 북가좌2동
서대문구,북가좌동,동림아파트,북가좌1동,서대문구,북가좌2동,서울특별시 서대문구 북가좌2동
서대문구,북가좌동,명진,북가좌1동,서대문구,북가좌2동,서울특별시 서대문구 북가좌2동
